SM,         S2 - M2                 #[ 6]
SNU2,       S2 - NU2                #[ 8]
SN,         S2 - N2                 #[ 9]
2SM,        2*S2 - 2*M2             #[ 11]
2SMN,       2*S2 - M2 - N2          #[ 12]
NJ1,        N2 - J1                 #[ 14]
NUJ1,       NU2 - J1                #[ 16]
NUK1,       NU2 - K1                #[ 19]
MP1,        M2 - P1                 #[ 22]
NO1,        N2 - O1                 #[ 28]
LP1,        L2 - P1                 #[ 30]
TK1,        T2 - K1                 #[ 32]
RP1,        R2 - P1                 #[ 37]
KP1,        K2 - P1                 #[ 39]
LABDAO1,    LABDA2 - O1             #[ 41]
2PO1,       P1 + P1 - O1            #[ 43]
SO1,        S2 - O1                 #[ 44]
KQ1,        K2 - Q1                 #[ 46]
3MKS2,      3*M2 - K2 - S2          #[ 47]
3MS2,       3*M2 - 2*S2             #[ 48]
#OQ2,       O1 + Q1                 #[ 49]
MNK2,       M2 + N2 - K2            #[ 50]
MNS2,       M2 + N2 - S2            #[ 51]
2ML2S2,     2*M2 + L2 - 2*S2        #[ 52]
2MS2K2,     2*M2 + S2 - 2*K2        #[ 53]
NLK2,       N2 + L2 - K2            #[ 54]
2MS2,       2*M2 - S2               #[ 57]
SNK2,       S2 + N2 - K2            #[ 58]
2KN2S2,     2*K2 + N2 - 2*S2        #[ 61]
OP2,        O1 + P1                 #[ 62]
MSK2,       M2 + S2 - K2            #[ 63]
MPS2,       M2 + P1 - S1            #[ 64]
MSP2,       M2 - P1 + S1            #[ 66]
MKS2,       M2 + K2 - S2            #[ 67]
M2(KS)2,    M2 + 2*K2 - 2*S2        #[ 68]
2SN(MK)2,   2*S2 + N2 - (M2 + K2)   #[ 69]
2MN2,       2*M2 - N2               #[ 71]
2SK2,       2*S2 - K2               #[ 75]
MSN2,       M2 + S2 - N2            #[ 80]
KJ2,        K1 + J1                 #[ 82]
MKN2,       M2 + K2 - N2            #[ 83]
2KM(SN)2,   2*K2 + M2 - (S2 + N2)   #[ 84]
2SM2,       2*S2 - M2               #[ 85]
SKM2,       S2 + K2 - M2            #[ 86]
2SNU2,      2*S2 - NU2              #[ 87]
3(SM)N2,    3*S2 + N2 - 3*M2        #[ 88]
2SN2,       2*S2 - N2               #[ 89]
SKN2,       S2 + K2 - N2            #[ 90]
MQ3,        M2 + Q1                 #[ 91]
NO3,        N2 + O1                 #[ 92]
MO3,        M2 + O1                 #[ 93]
2MK3,       2*M2 - K1               #[ 94]
2MP3,       2*M2 - P1               #[ 95]
SO3,        S2 + O1                 #[ 97]
MK3,        M2 + K1                 #[ 98]
2MQ3,       2*M2 - Q1               #[ 99]
SP3,        S2 + P1                 #[100]
SK3,        S2 + K1                 #[101]
K3,         K2 + K1                 #[102]
2SO3,       2*S2 - O1               #[103]
4MS4,       4*M2 - 2*S2             #[104]
2MNS4,      2*M2 + N2 - S2          #[105]
3MK4,       3*M2 - K2               #[106]
MNLK4,      M2 + N2 + L2 - K2       #[107]
3MS4,       3*M2 - S2               #[108]
MSNK4,      M2 + S2 + N2 - K2       #[109]
MN4,        M2 + N2                 #[110]
2MLS4,      2*M2 + L2 - S2          #[111]
2MSK4,      2*M2 + S2 - K2          #[112]
M4,         2*M2                    #[113]
2MKS4,      2*M2 + K2 - S2          #[114]
SN4,        S2 + N2                 #[115]
3MN4,       3*M2 - N2               #[116]
2SMK4,      2*S2 + M2 - K2          #[117]
MS4,        M2 + S2                 #[118]
MK4,        M2 + K2                 #[119]
2SNM4,      2*S2 + N2 - M2          #[120]
2MSN4,      2*M2 + S2 - N2          #[121]
SL4,        S2 + L2                 #[122]
S4,         2*S2                    #[123]
SK4,        S2 + K2                 #[124]
2SMN4,      2*S2 + M2 - N2          #[125]
3SM4,       3*S2 - M2               #[126]
2SKM4,      2*S2 + K2 - M2          #[127]
MNO5,       M2 + N2 + O1            #[128]
3MK5,       3*M2 - K1               #[129]
3MP5,       3*M2 - P1               #[130]
M5,         2*M2 + M1               #[131]
MNK5,       M2 + N2 + K1            #[132]
2MP5,       2*M2 + P1               #[133]
3MO5,       3*M2 - O1               #[134]
MSK5,       M2 + S2 + K1            #[135]
3KM5,       3*K1 + M2               #[136] #Foreman 3KM5= K2 + K1 + M2
2(MN)S6,    2*M2 + 2*N2 - S2        #[137]
3MNS6,      3*M2 + N2 - S2          #[138]
2NM6,       2*N2 + M2               #[139]
4MS6,       4*M2 - S2               #[140]
2MSNK6,     2*M2 + S2 + N2 - K2     #[141]
2MN6,       2*M2 + N2               #[142]
2MNU6,      2*M2 + NU2              #[143]
3MSK6,      3*M2 + S2 - K2          #[144]
M6,         3*M2                    #[145]
MSN6,       M2 + S2 + N2            #[146]
4MN6,       4*M2 - N2               #[147]
MNK6,       M2 + N2 + K2            #[148]
MKNU6,      M2 + K2 + NU2           #[149]
2(MS)K6,    2*M2 + 2*S2 - K2        #[150]
2MS6,       2*M2 + S2               #[151]
2MK6,       2*M2 + K2               #[152]
2SN6,       2*S2 + N2               #[153]
3MSN6,      3*M2 + S2 - N2          #[154]
MKL6,       M2 + K2 + L2            #[155]
2SM6,       2*S2 + M2               #[156]
MSK6,       M2 + S2 + K2            #[157]
S6,         3*S2                    #[158]
2MNO7,      2*M2 + N2 + O1          #[159]
2NMK7,      2*N2 + M2 + K1          #[160]
M7,         3*M2 + M1               #[161]
2MSO7,      2*M2 + S2 + O1          #[162]
MSKO7,      M2 + S2 + K2 + O1       #[163]
2(MN)8,     2*M2 + 2*N2             #[164]
3MN8,       3*M2 + N2               #[165]
3MNKS8,     3*M2 + N2 + K2 - S2     #[166]
M8,         4*M2                    #[167]
2MSN8,      2*M2 + S2 + N2          #[168]
2MNK8,      2*M2 + N2 + K2          #[169]
3MS8,       3*M2 + S2               #[170]
3MK8,       3*M2 + K2               #[171]
2SNM8,      M2 + 2*S2 + N2          #[172]
MSNK8,      M2 + S2 + N2 + K2       #[173]
2(MS)8,     2*M2 + 2*S2             #[174]
2MSK8,      2*M2 + S2 + K2          #[175]
3SM8,       3*S2 + M2               #[176]
2SMK8,      2*S2 + M2 + K2          #[177]
S8,         3*S2 + S2               #[178]
2(MN)K9,    2*M2 + 2*N2 + K1        #[179]
3MNK9,      3*M2 + N2 + K1          #[180]
4MK9,       4*M2 + K1               #[181]
3MSK9,      3*M2 + S2 + K1          #[182]
4MN10,      4*M2 + N2               #[183]
M10,        5*M2                    #[184]
3MSN10,     3*M2 + S2 + N2          #[185]
4MS10,      4*M2 + S2               #[186]
2(MS)N10,   2*M2 + 2*S2 + N2        #[187]
2MNSK10,    2*M2 + N2 + S2 + K2     #[188]
3M2S10,     3*M2 + 2*S2             #[189]
4MSK11,     4*M2 + S2 + K1          #[190]
M12,        5*M2 + M2               #[191]
4MSN12,     4*M2 + S2 + N2          #[192]
5MS12,      5*M2 + S2               #[193]
3MNKS12,    3*M2 + N2 + K2 + S2     #[194]
4M2S12,     4*M2 + 2*S2             #[195]
N4,         2*N2                    #extra added
